<Header file>
software;created;content;srcAixmFile;srcAixmOrigin;srcAixmVersion;srcAixmCreated;srcAixmEffective;
(aixmParser v2.6.0) RemoteCall;2020-05-23T11:52:24.018123;airspacesCatalog;../tst/aixm4.5_SIA-FR_map-Airspaces.xml;BPa;4.5;2020-03-18T17:50:01.141+01:00;2019-12-05T00:00:00.000+01:00;

<Content>
"zoneType";"groupZone";"vfrZone";"freeFlightZone";"excludeAirspaceByReferential";"potentialFilter4FreeFlightZone";"orgName";"UId";"id";"type";"class";"name";"groundEstimatedHeight";"ordinalLowerM";"lowerM";"ordinalUpperM";"upperM";"nameV";"alt";"altM";"altV";"exceptSAT";"exceptSUN";"exceptHOL";"upperType";"upperValue";"upperUnit";"lowerType";"lowerValue";"lowerUnit";"activationCode";"activationDesc";"desc";
"Airspace Zone";"False";"True";"True";;"True";"FRANCE";"1613148-tst";"LFR506A";"R";"R";"506 A";;;"0";;"3505";"[R] 506 A (LFR506A)";"[SFC/FL115]";"[0m/3505m]";"[SFC(0m)/FL115(3505m)]";"Yes";"Yes";"Yes";"STD";"115";"FL";"ALT";"0";"FT";"HX";"Possible activation H24 except SUN and public HOL";"Administrator: camp de Coëtquidan TEL: 02 97 70 73 85 Except for LF-R 239 COETQUIDAN SUD when active. Sauf SAM, DIM et JF OAT/GAT: Avoidance mandatory throughout activity, except for ACFT flying for Coëtquidan camp. Activity known on: -ARMOR (CCMAR): 124.725 MHz -RAKI INFO: 317.5 MHz, 143.550 MHz - RENNES APP/INFO: 134.0 MHz";
"Airspace Zone";"False";"True";"True";;;;"1613148-1";"LFR506A";"R";"R";"506 A";;;"0";;"1066";"[R] 506 A (LFR506A)";"[SFC/3500FT]";"[0m/1066m]";"[SFC(0m)/3500FT(1066m)]";"Yes";"Yes";"Yes";"STD";"3500";"FT";"HEI";"0";"FT";"HX";"Possible activation H24 except SUN and public HOL";"Administrator: camp de Coëtquidan TEL: 02 97 70 73 85 Except for LF-R 239 COETQUIDAN SUD when active. Sauf SAM, DIM et JF OAT/GAT: Avoidance mandatory throughout activity, except for ACFT flying for Coëtquidan camp. Activity known on: -ARMOR (CCMAR): 124.725 MHz -RAKI INFO: 317.5 MHz, 143.550 MHz - RENNES APP/INFO: 134.0 MHz";
"Airspace Zone";"False";"True";"True";;;;"1613148-2";"LFR506A";"R";"R";"506 A";"162";"1066";"1228";;"2286";"[R] 506 A (LFR506A)";"[3500FT ASFC/FL75]";"[1228m/2286m]";"[3500FT ASFC(1228m)/FL75(2286m)]";;;"Yes";"STD";"75";"FL";"HEI";"3500";"FT";"HX";"Possible activation H24 except public HOL";"Administrator: camp de Coëtquidan TEL: 02 97 70 73 85 Except for LF-R 239 COETQUIDAN SUD when active. OAT/GAT: Avoidance mandatory throughout activity, except for ACFT flying for Coëtquidan camp. Activity known on: -ARMOR (CCMAR): 124.725 MHz -RAKI INFO: 317.5 MHz, 143.550 MHz - RENNES APP/INFO: 134.0 MHz";
"Airspace Zone";"False";"True";"True";;;;"17782506";"LFR239";"R";"R";"239";"129";"152";"281";;"1524";"[R] 239 (LFR239)";"[500FT ASFC/5000FT AMSL]";"[281m/1524m]";"[500FT ASFC(281m)/5000FT AMSL(1524m)]";"Yes";"Yes";;"ALT";"5000";"FT";"HEI";"500";"FT";"HX";"Possible activation H24 by NOTAM PN 24 HR. According to protocol. Sauf SAM, DIM";"Administrator and NOTAM requester: Flights director (TEL published in the activation NOTAM). GAT/OAT: avoidance mandatory except for aircraft carrying out assistance, rescue or public safety missions, when avoidance is not compatible with the proper execution of these missions, upon flights director's authorisation. Lighting by day: - of the cable by fluorescent red flags every 50 m;  - of the hot air balloon by high intensity flashing lights (1 white, 1 red) Lighting by night of the hot air balloon: - by high intensity flashing lights (1 white, 1 red) - by a DCA spotlight of 1° aperture beam, white coloured. Detection/Identification: - RADAR reflector, transponder 3/A and C (distress code: 7700 in case of cable rupture) Activity known on: - RENNES INFO: 134.000 MHz - ARMOR: 124.725 MHz";
"Airspace Zone";"False";"True";"True";;;;"13555652";"LFR278";"R";"R";"278";"126";;"0";"762";"888";"[R] 278 (LFR278)";"[SFC/2500FT ASFC]";"[0m/888m]";"[SFC(0m)/2500FT ASFC(888m)]";;;;"HEI";"2500";"FT";"HEI";"0";"FT";"H24";"H24";"Administrator: VANNES MEUCON AD operator. Defined except for the interfering part of the LF-R 94 A MEUCON, when active. Radio contact mandatory with VANNES INFO or A/A if no AFIS. Users' information on: - VANNES INFO - NANTES INFO";
"Airspace Zone";"False";"True";"True";;;;"13555690";"LFR279";"R";"R";"279";;;"762";;"4419";"[R] 279 (LFR279)";"[2500FT AMSL/FL145]";"[762m/4419m]";"[2500FT AMSL(762m)/FL145(4419m)]";;;;"STD";"145";"FL";"ALT";"2500";"FT";"H24";"Possible activation: 0800-2000. SUM: - 1 HR";"Administrator: VANNES MEUCON AD operator. Airspace defined except for the interfering LF-R 94 A and B MEUCON areas, when active. Avoidance mandatory during activity, except for: - ACFT departing from or arriving at VANNES MEUCON AD, - ACFT dropping parachutists, - ACFT conducting assistance, rescue or public safety missions, when they can't avoid the area. Users' information: - VANNES INFO - NANTES INFO/APP - BREST ACC";
"Grouping zone";"True";"False";"False";;;;"1560463";"LFRH";"TMA";"TMA";"LORIENT";;;;;;"[TMA] LORIENT (LFRH)";;;;;;;;;;;;;;;;
"Airspace Zone";"False";"True";"True";;;;"1564419";"LFRH1";"TMA";"D";"LORIENT 1";;;"762";;"5943";"[D] TMA LORIENT 1 (LFRH1)";"[2500FT AMSL/FL195]";"[762m/5943m]";"[2500FT AMSL(762m)/FL195(5943m)]";;;;"STD";"195";"FL";"ALT";"2500";"FT";"HX";"Activable H24 Possible activation H24";"OAT/GAT procedures. Deactivation of TMA announced by RAI frequency 123.0 or by IROISE INFO. Except for LF-R 14, LF-R 13 A1, LF-R 13 A2, LF-R 13 B1, LF-R 13 B2, LF-R 13 C and LF-R 94 when active.";
"Airspace Zone";"False";"True";"True";;;;"1564399";"LFRH2";"TMA";"D";"LORIENT 2";;;"762";;"5943";"[D] TMA LORIENT 2 (LFRH2)";"[2500FT AMSL/FL195]";"[762m/5943m]";"[2500FT AMSL(762m)/FL195(5943m)]";;;;"STD";"195";"FL";"ALT";"2500";"FT";"HX";"Activable H24 Possible activation H24";"OAT/GAT procedures. Deactivation of TMA announced by RAI frequency 123.0 by BREST ACC/FIC or by IRROISE APP.";
"Airspace Zone";"False";"True";"True";;;;"1564395";"LFRH3";"TMA";"E";"LORIENT 3 (test)";;;"3505";;"3810";"[E] TMA LORIENT 3 (test) (LFRH3)";"[FL115/FL125]";"[3505m/3810m]";"[FL115(3505m)/FL125(3810m)]";;;;"STD";"125";"FL";"STD";"115";"FL";"HO";"Activable H24 Possible activation H24";"OAT/GAT procedures. Deactivation of TMA announced by RAI frequency 123.0 or by BREST ACC/FIC.";
