<Header file>
"software";"created";"content";"1";
"(aixmParser v2.26.4) ";"2021-06-25T14:09:58.320220";"airspacesCatalog";{"srcAixmFile": "../AIXM4.5_all_FR_OM_2021-06-17.xml", "srcAixmOrigin": "Sia-France", "srcAixmVersion": "4.5", "srcAixmCreated": "2021-05-06T14:48:09.497+02:00", "srcAixmEffective": "2021-06-17T00:00:00.000+02:00"};

<Content>
"zoneType";"groupZone";"vfrZone";"vfrZoneExt";"freeFlightZone";"freeFlightZoneExt";"excludeAirspaceNotCoord";"excludeAirspaceNotFfArea";"geometryType";"excludeAirspaceByFilter";"excludeAirspaceByAlt";"excludeAirspaceByRef";"deltaExt";"potentialFilter4FreeFlightZone";"orgName";"keySrcFile";"GUId";"UId";"id";"srcClass";"srcType";"srcCodeActivity";"srcLocalType";"srcCodeMil";"srcCodeLocInd";"srcName";"class";"type";"codeActivity";"name";"nameV";"desc";"Mhz";"activationCode";"activationDesc";"timeScheduling";"declassifiable";"seeNOTAM";"exceptSAT";"exceptSUN";"exceptHOL";"groundEstimatedHeight";"lowerMin";"lower";"lowerM";"ordinalLowerMinM";"ordinalLowerM";"upperMax";"upper";"upperM";"ordinalUpperMaxM";"ordinalUpperM";"WarningValDistVerLower";"WarningValDistVerUpper";"lowerType";"lowerValue";"lowerUnit";"lowerTypeMnm";"lowerValueMnm";"lowerUnitMnm";"upperType";"upperValue";"upperUnit";"lowerTypeMax";"lowerValueMax";"lowerUnitMax";"use4cfd";
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560179";"LFOJ";"";"TMA";;;;;"ORLEANS";"G";"TMA";;"ORLEANS";"TMA ORLEANS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;"FRANCE";;;"1560185";"UAC38";"";"D-OTHER";;"UAC";;;"BORDEAUX";"Q";"UAC";;"BORDEAUX";"UAC BORDEAUX";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;"FRANCE";;;"1560189";"ACC36";"";"D-OTHER";;"ACC";;;"BORDEAUX";"Q";"ACC";;"BORDEAUX";"ACC BORDEAUX";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;"FRANCE";;;"1560197";"UAC46";"";"D-OTHER";;"UAC";;;"BREST";"Q";"UAC";;"BREST";"UAC BREST";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;"FRANCE";;;"1560201";"ACC44";"";"D-OTHER";;"ACC";;;"BREST";"Q";"ACC";;"BREST";"ACC BREST";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;"FRANCE";;;"1560235";"UAC137";"";"D-OTHER";;"UAC";;;"MARSEILLE";"Q";"UAC";;"MARSEILLE";"UAC MARSEILLE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;"FRANCE";;;"1560251";"ACC175";"";"D-OTHER";;"ACC";;;"PARIS";"Q";"ACC";;"PARIS";"ACC PARIS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560253";"TMA4502";"";"TMA";;;;;"MORONI";"G";"TMA";;"MORONI";"TMA MORONI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;"FRANCE";;;"1560259";"UAC179";"";"D-OTHER";;"UAC";;;"PARIS";"Q";"UAC";;"PARIS";"UAC PARIS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;"FRANCE";;;"1560265";"UAC197";"";"D-OTHER";;"UAC";;;"REIMS";"Q";"UAC";;"REIMS";"UAC REIMS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
